Unnamed: 0,ID,DATE,PRICE,BEDROOMS,BATHROOMS,SQFT_LIVING,SQFT_LOT,FLOORS,WATERFRONT,VIEW,CONDITION,GRADE,SQFT_ABOVE,SQFT_BASEMENT,YR_BUILT,YR_RENOVATED,ZIPCODE,LAT,LONG,SQFT_LIVING15,SQFT_LOT15,YEAR,MONTH,DAY,MONTH_NAME,DAY_NAME,AGE,RENOVATED,BASEMENT
887,510002519,2014-07-15,466000.0,2,1.5,1140,1058,3.0,0,0,3,7,1140,0,2005,0,98103,47.6608,-122.333,1170,1116,2014,7,15,July,Tuesday,19,0,0
953,7517500611,2014-05-21,720000.0,3,2.5,2020,1159,3.0,0,3,3,8,2020,0,2000,0,98103,47.6617,-122.356,1920,3600,2014,5,21,May,Wednesday,24,0,0
960,7578200310,2014-11-12,650000.0,4,2.0,2208,5000,3.0,0,0,5,8,2208,0,1917,0,98116,47.5711,-122.383,1760,5000,2014,11,12,November,Wednesday,107,0,0
985,9528104108,2014-05-29,535000.0,3,2.5,1360,1016,3.0,0,0,3,7,1310,50,2003,0,98115,47.6774,-122.324,1365,1156,2014,5,29,May,Thursday,21,0,1
1098,9158100116,2015-04-06,285000.0,2,1.5,990,1380,3.0,0,0,3,7,990,0,2001,0,98133,47.7218,-122.356,1050,1380,2015,4,6,April,Monday,23,0,0
1107,2770604942,2014-12-30,609850.0,2,2.75,1910,1369,3.0,0,0,3,9,1910,0,2002,0,98119,47.6544,-122.373,1910,1879,2014,12,30,December,Tuesday,22,0,0
1206,5458300685,2014-05-20,479000.0,3,2.5,1260,889,3.0,0,0,3,8,1260,0,2008,0,98109,47.6277,-122.345,1340,1324,2014,5,20,May,Tuesday,16,0,0
1244,5309100140,2014-06-24,880000.0,4,2.5,3030,3841,3.0,0,0,3,9,3030,0,2005,0,98117,47.6781,-122.369,1080,4922,2014,6,24,June,Tuesday,19,0,0
1256,993001629,2014-11-17,265000.0,3,2.75,1120,881,3.0,0,0,3,8,1120,0,1999,0,98103,47.6914,-122.343,1120,1087,2014,11,17,November,Monday,25,0,0
1267,4310701600,2014-11-13,340000.0,3,2.5,1240,1115,3.0,0,0,3,8,1240,0,2003,0,98103,47.6985,-122.34,1410,1355,2014,11,13,November,Thursday,21,0,0
1296,5458800125,2014-05-14,925000.0,4,2.5,2190,7350,2.5,0,0,5,8,2190,0,1958,0,98040,47.5786,-122.236,1880,7350,2014,5,14,May,Wednesday,66,0,0
1319,1962200036,2014-08-19,600000.0,3,1.75,1620,1325,2.5,0,0,3,9,1430,190,2005,0,98102,47.6498,-122.321,1750,1572,2014,8,19,August,Tuesday,19,0,1
1337,7234600796,2014-11-26,495000.0,2,1.75,1850,2530,2.5,0,0,4,7,1850,0,1903,0,98122,47.6106,-122.31,1500,1795,2014,11,26,November,Wednesday,121,0,0
1350,7234600786,2014-05-11,842500.0,4,2.5,2160,5298,2.5,0,0,4,9,2160,0,1902,0,98122,47.6106,-122.31,1720,2283,2014,5,11,May,Sunday,122,0,0
1536,5363200200,2015-04-02,932800.0,5,3.25,2980,7095,2.5,0,0,3,9,2980,0,1998,2007,98115,47.6919,-122.294,1670,7140,2015,4,2,April,Thursday,26,1,0
1627,1338801019,2014-07-01,1198000.0,4,3.5,3400,3850,2.5,0,0,3,10,2790,610,2008,0,98112,47.6258,-122.302,2030,4000,2014,7,1,July,Tuesday,16,0,1
1662,1925069121,2015-03-30,960000.0,3,2.5,1730,4102,3.0,1,4,3,8,1730,0,1996,0,98074,47.645,-122.084,2340,16994,2015,3,30,March,Monday,28,0,0
1689,2767604247,2014-07-11,467000.0,2,2.5,1140,1181,3.0,0,0,3,8,1140,0,2007,0,98107,47.6713,-122.383,1220,1189,2014,7,11,July,Friday,17,0,0
1694,8902500118,2014-08-12,326000.0,3,2.5,1782,1577,3.0,0,0,3,7,1782,0,2000,0,98125,47.7114,-122.301,1550,1744,2014,8,12,August,Tuesday,24,0,0
1706,1336300445,2015-04-22,1265000.0,4,3.0,3130,2646,2.5,0,0,5,9,2290,840,1906,0,98102,47.6272,-122.316,2920,4500,2015,4,22,April,Wednesday,118,0,1
1771,2113700060,2014-10-14,400000.0,4,2.5,2350,3904,2.5,0,0,3,7,2350,0,1999,0,98106,47.5305,-122.351,1120,4000,2014,10,14,October,Tuesday,25,0,0
1844,9274200320,2015-04-13,580000.0,3,2.5,1740,1280,3.0,0,2,3,8,1740,0,2008,0,98116,47.589,-122.387,1740,1308,2015,4,13,April,Monday,16,0,0
2017,3383900058,2014-11-18,580000.0,3,3.25,1490,857,3.0,0,0,3,8,1220,270,2001,0,98102,47.6357,-122.324,1550,1092,2014,11,18,November,Tuesday,23,0,1
2025,2767600400,2014-11-18,719950.0,3,2.25,2190,2416,3.0,0,0,3,8,2190,0,2014,0,98117,47.6758,-122.38,1510,3615,2014,11,18,November,Tuesday,10,0,0
2148,2767603210,2014-12-10,670950.0,3,2.5,1790,2375,3.0,0,0,3,8,1790,0,2007,0,98107,47.6726,-122.38,1450,2400,2014,12,10,December,Wednesday,17,0,0
2308,6788200800,2015-05-07,1185000.0,4,2.75,2850,3000,2.5,0,0,3,9,2530,320,2003,0,98112,47.6406,-122.304,2083,4500,2015,5,7,May,Thursday,21,0,1
2339,1724069062,2014-07-14,1365000.0,2,3.25,2700,3444,3.0,1,3,3,9,2700,0,1990,0,98075,47.5684,-122.06,2710,3444,2014,7,14,July,Monday,34,0,0
2346,1421069159,2014-11-10,520000.0,3,2.5,2280,58712,2.5,0,3,3,9,2280,0,1987,0,98010,47.3053,-122.0,2240,24332,2014,11,10,November,Monday,37,0,0
2347,476000335,2014-12-17,430000.0,2,1.5,1320,1194,3.0,0,0,3,7,1320,0,2001,0,98107,47.6704,-122.39,1320,1250,2014,12,17,December,Wednesday,23,0,0
2429,5026900160,2015-04-24,1600000.0,5,2.5,3100,5374,2.5,0,0,4,9,3100,0,1906,0,98122,47.6154,-122.283,2180,5800,2015,4,24,April,Friday,118,0,0
2476,2620069195,2014-11-04,340000.0,4,1.75,2140,11651,2.5,0,0,3,8,2140,0,1930,2001,98022,47.196,-122.006,2030,10978,2014,11,4,November,Tuesday,94,1,0
2477,1300301840,2015-04-25,1215000.0,4,2.25,2570,9600,2.5,0,0,4,9,2570,0,1962,0,98040,47.5791,-122.241,2570,13200,2015,4,25,April,Saturday,62,0,0
2478,4358700186,2014-12-11,275000.0,3,2.25,1260,1488,3.0,0,0,3,7,1260,0,2009,0,98133,47.7071,-122.336,1190,1095,2014,12,11,December,Thursday,15,0,0
2528,4477000270,2014-08-22,565000.0,3,2.0,2730,15677,2.5,0,3,3,9,2730,0,1976,0,98166,47.4612,-122.365,2040,12209,2014,8,22,August,Friday,48,0,0
2540,1862400517,2014-08-13,350000.0,3,2.0,1320,1298,3.0,0,0,3,7,1320,0,1995,0,98117,47.6959,-122.376,1380,1503,2014,8,13,August,Wednesday,29,0,0
2566,3037200060,2014-09-26,499000.0,3,2.5,1750,2150,2.5,0,0,3,7,1230,520,1900,2014,98122,47.6037,-122.311,1410,3300,2014,9,26,September,Friday,124,1,1
2667,9274200316,2015-04-09,558000.0,3,2.5,1680,934,3.0,0,0,3,8,1680,0,2008,0,98116,47.5891,-122.387,1740,1280,2015,4,9,April,Thursday,16,0,0
2855,9828702812,2014-09-23,582000.0,4,3.0,1670,1189,3.0,0,0,3,8,1427,243,2000,0,98122,47.6182,-122.302,1700,1401,2014,9,23,September,Tuesday,24,0,1
2924,2274000026,2014-11-01,353000.0,3,2.5,1250,864,3.0,0,0,3,8,1250,0,2004,0,98115,47.6978,-122.318,1330,2298,2014,11,1,November,Saturday,20,0,0
2939,4310702787,2014-07-17,335000.0,3,3.0,1430,1249,3.0,0,0,3,8,1430,0,2003,0,98103,47.6971,-122.34,1020,1112,2014,7,17,July,Thursday,21,0,0
2975,7276100165,2014-09-16,427000.0,3,2.5,2050,3218,3.0,0,0,3,7,2050,0,2008,0,98133,47.7612,-122.344,2050,7200,2014,9,16,September,Tuesday,16,0,0
2984,4003000053,2014-08-13,765000.0,3,2.75,2250,9600,2.5,0,0,4,9,1830,420,1909,1991,98122,47.6033,-122.287,2060,4980,2014,8,13,August,Wednesday,115,1,1
3119,3918400017,2015-02-05,380000.0,0,0.0,1470,979,3.0,0,2,3,8,1470,0,2006,0,98133,47.7145,-122.356,1470,1399,2015,2,5,February,Thursday,18,0,0
3145,9274201807,2014-08-20,580000.0,3,2.5,1590,1937,2.5,0,0,3,8,1590,0,2004,0,98116,47.5903,-122.388,1620,2022,2014,8,20,August,Wednesday,20,0,0
3153,1336800015,2014-05-21,1506000.0,4,3.25,3660,5800,2.5,0,0,3,10,3360,300,1909,1995,98112,47.6283,-122.312,3240,5800,2014,5,21,May,Wednesday,115,1,1
3347,464000600,2014-08-27,641250.0,3,2.5,2220,2550,3.0,0,2,3,10,2220,0,1990,0,98117,47.6963,-122.393,2200,5610,2014,8,27,August,Wednesday,34,0,0
3395,3278602760,2015-02-03,369900.0,2,2.5,1770,1853,3.0,0,0,3,8,1770,0,2007,0,98126,47.5472,-122.371,1770,1924,2015,2,3,February,Tuesday,17,0,0
3442,6300500475,2014-09-02,412000.0,3,2.5,1553,1991,3.0,0,0,3,8,1553,0,2014,0,98133,47.7049,-122.34,1509,2431,2014,9,2,September,Tuesday,10,0,0
3452,2559950110,2015-04-22,1234570.0,2,2.5,2470,609,3.0,0,0,3,11,1910,560,2011,0,98112,47.6182,-122.312,2440,1229,2015,4,22,April,Wednesday,13,0,1
3467,1453602309,2014-08-05,288000.0,0,1.5,1430,1650,3.0,0,0,3,7,1430,0,1999,0,98125,47.7222,-122.29,1430,1650,2014,8,5,August,Tuesday,25,0,0
3523,3880900245,2015-02-02,700000.0,6,3.0,2790,4550,2.5,0,0,4,8,2790,0,1907,0,98119,47.627,-122.361,2590,4550,2015,2,2,February,Monday,117,0,0
3525,2426039313,2015-02-18,277500.0,2,1.5,1190,1236,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,2015,2,18,February,Wednesday,19,0,0
3537,2026049125,2015-05-01,310000.0,2,2.0,1030,2271,3.0,0,0,3,7,1030,0,1999,0,98125,47.7263,-122.314,1439,1387,2015,5,1,May,Friday,25,0,0
3601,2487200940,2014-08-14,889000.0,4,3.5,3210,5000,3.0,0,0,3,9,3210,0,2014,0,98136,47.5203,-122.393,1360,5000,2014,8,14,August,Thursday,10,0,0
3711,4447300008,2014-09-23,530000.0,3,1.5,1950,1963,3.0,0,0,3,8,1950,0,2002,0,98117,47.6904,-122.397,1590,2028,2014,9,23,September,Tuesday,22,0,0
3724,9828702251,2014-06-23,579000.0,3,2.5,1640,1269,3.0,0,0,3,8,1640,0,2009,0,98112,47.6197,-122.3,1590,1231,2014,6,23,June,Monday,15,0,0
3749,3383900057,2014-12-03,500000.0,3,3.25,1490,902,3.0,0,0,3,8,1220,270,2001,0,98102,47.6357,-122.324,1550,1092,2014,12,3,December,Wednesday,23,0,1
3751,3126049436,2014-09-12,416000.0,3,2.5,1710,1296,3.0,0,0,3,8,1510,200,2004,0,98103,47.6963,-122.342,1610,1282,2014,9,12,September,Friday,20,0,1
3784,9521100855,2014-06-10,440000.0,3,1.5,1290,1286,3.0,0,0,3,7,1290,0,2000,0,98103,47.6617,-122.349,1720,1286,2014,6,10,June,Tuesday,24,0,0
3824,2249500367,2014-10-21,736000.0,3,2.5,1980,2975,3.0,0,2,3,8,1980,0,1993,0,98109,47.6294,-122.344,1980,3144,2014,10,21,October,Tuesday,31,0,0
3838,534000112,2015-02-03,348000.0,2,2.5,1270,1242,3.0,0,0,3,7,1270,0,2008,0,98117,47.701,-122.362,1280,1199,2015,2,3,February,Tuesday,16,0,0
3859,1891100090,2014-05-05,620000.0,3,1.75,1480,2185,2.5,0,0,3,9,1480,0,2005,0,98034,47.6945,-122.17,1480,2441,2014,5,5,May,Monday,19,0,0
3869,1732800820,2014-06-19,1325000.0,4,2.5,2440,3600,2.5,0,0,4,8,2440,0,1902,0,98119,47.6298,-122.362,2440,5440,2014,6,19,June,Thursday,122,0,0
3883,2997800076,2014-12-09,589950.0,3,2.75,1670,1350,3.0,0,0,3,9,1350,320,2014,0,98116,47.5763,-122.408,1520,4800,2014,12,9,December,Tuesday,10,0,1
3924,4141800215,2014-11-26,1495000.0,4,3.75,3770,4000,2.5,0,0,5,9,2890,880,1916,0,98122,47.6157,-122.287,2800,5000,2014,11,26,November,Wednesday,108,0,1
4034,3278602490,2014-09-26,365000.0,3,2.5,1780,1754,3.0,0,0,3,8,1780,0,2007,0,98126,47.548,-122.373,1780,1607,2014,9,26,September,Friday,17,0,0
4039,1862400518,2015-03-04,385000.0,3,2.0,1320,1297,3.0,0,0,3,7,1320,0,1995,0,98117,47.6959,-122.376,1380,1503,2015,3,4,March,Wednesday,29,0,0
4138,9126100608,2015-02-25,545000.0,4,3.5,1880,1341,3.0,0,0,3,8,1650,230,2007,0,98122,47.6053,-122.306,1740,1883,2015,2,25,February,Wednesday,17,0,1
4177,9523100459,2014-06-09,552000.0,2,2.5,1380,951,3.0,0,0,3,9,1380,0,2006,0,98103,47.6654,-122.355,1430,3400,2014,6,9,June,Monday,18,0,0
4208,4442800008,2014-09-26,369000.0,3,2.0,1340,1480,3.0,0,0,3,8,1340,0,1997,0,98117,47.6904,-122.393,1340,1321,2014,9,26,September,Friday,27,0,0
4220,3342104046,2014-07-08,1570000.0,4,2.25,2890,18226,3.0,1,4,3,10,2890,0,1984,0,98056,47.5169,-122.209,2870,11151,2014,7,8,July,Tuesday,40,0,0
4239,2926049449,2014-06-18,384400.0,3,3.25,1689,1388,3.0,0,0,3,8,1689,0,2008,0,98125,47.7174,-122.317,1459,1384,2014,6,18,June,Wednesday,16,0,0
4241,4003000110,2014-10-29,865000.0,4,2.5,2710,4069,3.0,0,0,4,10,2710,0,1990,0,98122,47.604,-122.288,1810,3586,2014,10,29,October,Wednesday,34,0,0
4289,2770600853,2014-06-12,585000.0,3,2.5,1910,1501,2.5,0,0,3,8,1530,380,2007,0,98199,47.6441,-122.385,1760,1750,2014,6,12,June,Thursday,17,0,1
4310,9528101032,2015-03-25,600000.0,3,3.0,1520,1800,3.0,0,0,3,7,1520,0,2003,0,98115,47.6822,-122.326,1520,1500,2015,3,25,March,Wednesday,21,0,0
4337,2767603250,2015-03-09,622000.0,3,2.25,1550,1919,3.0,0,0,3,8,1550,0,2003,0,98107,47.6729,-122.379,1550,2918,2015,3,9,March,Monday,21,0,0
4346,1112000031,2015-03-18,715000.0,3,2.25,1990,4977,3.0,0,0,3,9,1990,0,2012,0,98118,47.5404,-122.268,1280,5000,2015,3,18,March,Wednesday,12,0,0
4364,4468400214,2014-10-10,318000.0,3,2.25,1250,1017,3.0,0,0,3,8,1250,0,2008,0,98133,47.7099,-122.333,1250,1017,2014,10,10,October,Friday,16,0,0
4381,8109800110,2014-08-01,717550.0,3,3.5,2840,4468,3.0,0,0,3,10,2840,0,2006,0,98052,47.7069,-122.117,3040,5400,2014,8,1,August,Friday,18,0,0
4446,2767604252,2015-01-12,344000.0,1,1.5,760,779,3.0,0,0,3,8,760,0,2006,0,98107,47.6715,-122.382,1290,1189,2015,1,12,January,Monday,18,0,0
4499,2767603931,2014-08-18,469000.0,3,3.25,1370,1194,3.0,0,0,3,8,1370,0,2004,0,98107,47.6718,-122.388,1800,2678,2014,8,18,August,Monday,20,0,0
4521,993001332,2014-09-03,407000.0,3,2.25,1430,1448,3.0,0,0,3,8,1430,0,2005,0,98103,47.6916,-122.341,1430,1383,2014,9,3,September,Wednesday,19,0,0
4535,5556300076,2015-04-23,1442500.0,3,2.25,2630,9705,2.5,0,2,4,8,2630,0,1987,0,98052,47.6485,-122.121,2640,14284,2015,4,23,April,Thursday,37,0,0
4637,6798100652,2014-07-15,316750.0,3,2.5,1256,1154,3.0,0,0,3,7,1256,0,2005,0,98125,47.7146,-122.311,1309,1232,2014,7,15,July,Tuesday,19,0,0
4702,4013800131,2014-08-07,267500.0,2,1.0,1747,12250,2.5,0,0,4,6,1747,0,1948,0,98001,47.3282,-122.285,1620,10300,2014,8,7,August,Thursday,76,0,0
4846,9528100963,2014-08-06,719000.0,3,3.0,1833,1706,3.0,0,0,3,9,1833,0,1998,0,98115,47.6827,-122.325,1466,1455,2014,8,6,August,Wednesday,26,0,0
4916,1972200660,2015-04-15,465000.0,2,1.5,1120,1201,3.0,0,0,3,8,1120,0,1999,0,98103,47.6524,-122.353,1370,1298,2015,4,15,April,Wednesday,25,0,0
4929,9830200380,2014-09-17,653000.0,3,3.0,3040,5067,3.0,0,2,3,10,3040,0,1993,0,98118,47.5409,-122.267,1820,5998,2014,9,17,September,Wednesday,31,0,0
4970,9274200314,2014-08-21,568000.0,3,2.5,1740,1279,3.0,0,0,3,8,1740,0,2008,0,98116,47.5891,-122.387,1740,1280,2014,8,21,August,Thursday,16,0,0
5020,8129700255,2015-02-13,798750.0,2,2.25,2160,2578,3.0,0,0,3,8,2160,0,2005,0,98103,47.6607,-122.354,1800,2142,2015,2,13,February,Friday,19,0,0
5025,3362401611,2015-03-25,1165000.0,4,3.75,3920,4500,3.0,0,0,3,8,3920,0,2013,0,98103,47.6805,-122.346,2040,3000,2015,3,25,March,Wednesday,11,0,0
5041,2767701416,2015-01-16,440000.0,3,2.5,1040,1032,3.0,0,0,3,7,1040,0,2007,0,98107,47.6673,-122.377,1290,1275,2015,1,16,January,Friday,17,0,0
5079,6873000190,2015-03-11,656000.0,2,2.5,2270,1763,3.0,0,0,3,7,1820,450,2009,0,98052,47.6757,-122.121,2180,1763,2015,3,11,March,Wednesday,15,0,1
5085,3834500417,2014-08-09,469950.0,3,3.25,1760,1778,3.0,0,0,3,8,1760,0,2008,0,98125,47.7201,-122.301,1520,1615,2014,8,9,August,Saturday,16,0,0
5396,9187200285,2014-05-05,823000.0,6,1.75,2920,5000,2.5,0,0,4,9,2780,140,1908,0,98122,47.6024,-122.295,2020,5000,2014,5,5,May,Monday,116,0,1
5403,7169200221,2014-10-23,497000.0,3,2.25,1450,1387,3.0,0,0,3,8,1450,0,2000,0,98115,47.6765,-122.302,1450,1429,2014,10,23,October,Thursday,24,0,0
5529,3626039415,2014-06-11,435000.0,3,2.5,1420,2581,3.0,0,0,3,7,1420,0,2004,0,98133,47.7027,-122.357,1420,2509,2014,6,11,June,Wednesday,20,0,0
5640,9521100280,2014-06-12,480000.0,3,2.5,1250,1103,3.0,0,2,3,8,1250,0,2005,0,98103,47.6619,-122.352,1250,1188,2014,6,12,June,Thursday,19,0,0
5671,2767700022,2015-01-13,500000.0,3,3.25,1520,1500,3.0,0,0,3,7,1520,0,2000,0,98107,47.67,-122.389,1520,1323,2015,1,13,January,Tuesday,24,0,0
5732,9528102771,2014-09-04,499000.0,3,2.5,1610,1728,3.0,0,0,3,8,1610,0,2000,0,98115,47.6776,-122.318,1540,3090,2014,9,4,September,Thursday,24,0,0
6034,6926700660,2014-09-11,680000.0,2,2.0,1450,989,3.0,0,0,3,9,1450,0,2014,0,98109,47.6354,-122.346,1490,1240,2014,9,11,September,Thursday,10,0,0
6068,9528100899,2015-04-28,827000.0,3,2.5,1850,1330,2.5,0,0,3,9,1560,290,2004,0,98115,47.6831,-122.325,1810,2071,2015,4,28,April,Tuesday,20,0,1
6130,9126101511,2015-04-28,863500.0,4,3.0,3250,2760,2.5,0,0,3,8,2420,830,1905,2007,98122,47.6104,-122.303,1260,2780,2015,4,28,April,Tuesday,119,1,1
6229,9524100050,2014-12-22,360000.0,3,1.75,1255,1113,3.0,0,0,3,8,1255,0,2010,0,98103,47.6958,-122.343,1010,1038,2014,12,22,December,Monday,14,0,0
6240,6848200221,2014-09-02,635000.0,3,3.5,1730,1349,3.0,0,0,3,9,1350,380,2009,0,98102,47.6224,-122.326,1830,3300,2014,9,2,September,Tuesday,15,0,1
6262,6003001760,2014-09-24,675000.0,3,1.5,2510,3600,2.5,0,0,4,8,2510,0,1907,0,98112,47.6195,-122.313,1740,1885,2014,9,24,September,Wednesday,117,0,0
6280,6850700670,2014-05-13,799200.0,6,3.0,2890,2370,2.5,0,0,3,7,2290,600,1906,0,98102,47.6227,-122.323,2180,2460,2014,5,13,May,Tuesday,118,0,1
6304,9822700255,2014-05-05,670000.0,3,2.5,1680,2000,3.0,0,0,3,9,1680,0,1909,1998,98105,47.6604,-122.29,1950,5000,2014,5,5,May,Monday,115,1,0
6307,2524049056,2014-07-14,950000.0,3,3.25,3330,15093,2.5,0,0,3,9,3330,0,1988,0,98040,47.5395,-122.242,4340,20031,2014,7,14,July,Monday,36,0,0
6338,1972205790,2014-12-11,755000.0,3,2.5,2000,1950,3.0,0,0,3,8,2000,0,2005,0,98109,47.6476,-122.356,1560,1340,2014,12,11,December,Thursday,19,0,0
6466,8843900396,2014-07-14,455000.0,3,1.0,1480,13280,2.5,0,0,3,6,1480,0,1940,0,98027,47.5378,-122.043,1510,8723,2014,7,14,July,Monday,84,0,0
6468,5694000768,2014-09-22,550000.0,3,2.25,1700,1481,3.0,0,0,3,8,1700,0,2002,0,98103,47.6598,-122.349,1560,1350,2014,9,22,September,Monday,22,0,0
6521,7883605985,2015-03-30,439000.0,3,2.25,3020,6000,3.0,0,2,3,8,1980,1040,1994,0,98108,47.5249,-122.319,1150,6000,2015,3,30,March,Monday,30,0,1
6540,3333500151,2015-05-07,598200.0,5,3.75,2980,4635,3.0,0,0,3,8,2980,0,1997,0,98118,47.5508,-122.268,1100,5150,2015,5,7,May,Thursday,27,0,0
6657,2436700655,2015-03-17,515000.0,2,2.5,1330,1249,3.0,0,0,3,8,1330,0,2004,0,98105,47.6668,-122.285,1430,1328,2015,3,17,March,Tuesday,20,0,0
6688,1868901190,2014-08-07,650000.0,4,2.25,2100,2500,3.0,0,0,3,8,2100,0,2001,0,98115,47.6726,-122.298,1660,4000,2014,8,7,August,Thursday,23,0,0
6724,1473200170,2014-07-29,305000.0,3,2.5,1260,1622,3.0,0,0,3,8,1260,0,2009,0,98133,47.7325,-122.343,1340,1188,2014,7,29,July,Tuesday,15,0,0
6734,3188100007,2014-10-22,380000.0,3,2.5,1610,1778,3.0,0,0,3,7,1610,0,2002,0,98115,47.6902,-122.306,1120,2187,2014,10,22,October,Wednesday,22,0,0
6751,993000950,2014-09-06,320000.0,2,1.5,1110,1200,3.0,0,0,3,8,1110,0,2000,0,98103,47.6931,-122.342,1110,1363,2014,9,6,September,Saturday,24,0,0
6777,6824100005,2014-08-01,408000.0,3,2.5,1470,1204,3.0,0,0,3,8,1470,0,2006,0,98117,47.6998,-122.366,1460,1245,2014,8,1,August,Friday,18,0,0
6836,1024039001,2014-07-17,1000000.0,4,2.75,3090,16538,3.0,0,0,4,8,2590,500,1919,1987,98116,47.5803,-122.403,1500,5130,2014,7,17,July,Thursday,105,1,1
6859,993001330,2014-05-05,406100.0,3,2.25,1410,1332,3.0,0,0,3,8,1410,0,2005,0,98103,47.6916,-122.34,1430,1448,2014,5,5,May,Monday,19,0,0
6926,6021503656,2014-09-02,375000.0,3,2.5,1330,1064,3.0,0,0,3,8,1330,0,2004,0,98117,47.6835,-122.387,1330,1113,2014,9,2,September,Tuesday,20,0,0
6977,1710400005,2014-11-19,690000.0,3,2.0,1770,1800,3.0,0,0,3,8,1770,0,1999,0,98122,47.6102,-122.314,1890,3200,2014,11,19,November,Wednesday,25,0,0
6980,263000359,2014-06-30,355000.0,3,2.25,1370,1524,3.0,0,0,3,8,1370,0,2005,0,98103,47.6982,-122.347,1370,1418,2014,6,30,June,Monday,19,0,0
7151,1473200130,2015-03-20,303000.0,3,2.25,1340,873,3.0,0,0,3,8,1340,0,2009,0,98133,47.7325,-122.343,1340,1186,2015,3,20,March,Friday,15,0,0
7193,4242900285,2014-08-05,630000.0,4,2.5,1910,1502,3.0,0,0,3,8,1910,0,2014,0,98107,47.6747,-122.393,1520,3888,2014,8,5,August,Tuesday,10,0,0
7227,2767603649,2014-07-30,520000.0,3,2.25,1210,1250,3.0,0,0,3,8,1210,0,2014,0,98107,47.6722,-122.384,1780,5000,2014,7,30,July,Wednesday,10,0,0
